"asn","tg_op"
31246,"NULL"
34093,"NULL"
34095,"NULL"
39392,"NULL"
39906,"NULL"
41456,"NULL"
41824,"NULL"
42908,"NULL"
44065,"NULL"
44546,"NULL"
47114,"NULL"
47232,"NULL"
47834,"NULL"
27887,"NULL"
24835,"EG03"
39301,"NULL"
48481,"NULL"
8728,"NULL"
3327,"NULL"
3221,"NULL"
29154,"NULL"
29422,"NULL"
30798,"NULL"
31211,"NULL"
39324,"NULL"
39699,"FI03"
42343,"FI03"
49282,"NULL"
21366,"NULL"
20931,"FI02"
20904,"NULL"
20569,"NULL"
20542,"NULL"
16302,"NULL"
13276,"NULL"
13170,"FI03"
8829,"FI03"
8624,"NULL"
3292,"FI01"
1741,"NULL"
16023,"NULL"
49826,"NULL"
39194,"FI03"
702,"NULL"
1668,"NULL"
1715,"NULL"
1942,"NULL"
2200,"NULL"
2422,"NULL"
2426,"NULL"
8220,"NULL"
8554,"NULL"
9159,"NULL"
12876,"NULL"
13193,"NULL"
16276,"NULL"
20718,"NULL"
28677,"NULL"
34383,"FR06"
35632,"NULL"
39886,"NULL"
48185,"NULL"
25388,"NULL"
29522,"NULL"
31242,"NULL"
35191,"NULL"
38944,"NULL"
42064,"NULL"
43118,"NULL"
20960,"NULL"
20804,"NULL"
16342,"NULL"
15967,"NULL"
13110,"NULL"
12824,"NULL"
8938,"NULL"
8508,"NULL"
8308,"NULL"
8267,"NULL"
6714,"NULL"
1887,"NULL"
34325,"NULL"
39006,"NULL"
39869,"NULL"
44828,"NULL"
33951,"NULL"
30838,"NULL"
35378,"NULL"
31304,"NULL"
30799,"NULL"
35274,"NULL"
34377,"NULL"
13000,"NULL"
35434,"NULL"
28726,"NULL"
28908,"NULL"
29468,"NULL"
29518,"NULL"
33885,"SE03"
34610,"NULL"
42318,"NULL"
42708,"NULL"
47155,"NULL"
158,"NULL"
21250,"NULL"
21195,"NULL"
21052,"NULL"
15782,"NULL"
13189,"NULL"
12552,"NULL"
8473,"NULL"
3292,"NULL"
2874,"NULL"
1653,"NULL"
702,"NULL"
5400,"NULL"
21503,"NULL"
21202,"NULL"
20626,"NULL"
36492,"NULL"
1280,"NULL"
20115,"US04"
20001,"US15"
11427,"US15"
11351,"US15"
11426,"US15"
12271,"US15"
10796,"US15"
19108,"NULL"
6079,"NULL"
11060,"US15"
11955,"US15"
13343,"US15"
11492,"NULL"
20231,"US15"
10994,"US15"
12262,"US15"
33588,"US02"
12083,"NULL"
10838,"US15"
29737,"NULL"
6621,"NULL"
7843,"US15"
3737,"NULL"
11232,"NULL"
174,"NULL"
8047,"NULL"
7459,"NULL"
4181,"NULL"
7017,"US15"
29895,"NULL"
23292,"NULL"
27364,"NULL"
3356,"NULL"
15162,"NULL"
10311,"US15"
19817,"NULL"
2828,"NULL"
18566,"NULL"
29859,"NULL"
22759,"NULL"
1785,"NULL"
13490,"NULL"
2152,"NULL"
31939,"NULL"
14051,"NULL"
5056,"NULL"
11776,"NULL"
23456,"NULL"
197522,"NULL"
24896,"NULL"
25133,"NULL"
25385,"NULL"
28825,"NULL"
29107,"NULL"
29511,"NULL"
29685,"NULL"
30779,"NULL"
30822,"NULL"
30886,"NULL"
30955,"NULL"
31148,"NULL"
31272,"NULL"
31305,"NULL"
31725,"NULL"
33997,"NULL"
34092,"NULL"
34143,"NULL"
34187,"NULL"
